title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
Aliens vs. Predator: Requiem,,2007,94 min,USA,English,"Colin Strause, Greg Strause",20th Century Fox,"Action, Horror, Sci-Fi, Thriller","Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis","Following the events of Alien vs. Predator, and the maturation of the chestburster that erupted from the body of Scar (the Predator that defeated the Alien Queen) into an adult Predalien, the Predator scout ship crashes in the woods of Gunnison County. A local, Buddy Benson, and his son, Sam, are hunting in the forest and witness the crash, but they are chased and are implanted with alien embryos by facehuggers along with several homeless people living in the sewers. Meanwhile another Predator lands seeking out the Alien and destroying evidence of their presence on Earth. The dwellers of the town find themselves in the middle of a battlefield between the two deadly extraterrestrial creatures, and the small group of survivors splits between the leadership of Sheriff Eddie Morales and the bad-boy Dallas Howard. Both have different opinions about the best means to escape from the beings.",47,29,11,tt0758730,http://www.avp-r.com/,,https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_SX300.jpg,"Alien, Predator",1080,Eng
Alita: Battle Angel,,2019,122 min,USA,"English, Spanish",Robert Rodriguez,20th Century Fox,"Action, Adventure, Sci-Fi, Thriller","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali","Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of death and destruction left behind from Tiphares. But to accomplish her true purpose, she must fight and kill. And that is where Alita's true significance comes to bear. She is an angel from heaven. She is an angel of death.",74,53,61,tt0437086,,,https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_SX300.jpg,,1080,
All About the Feathers ,Por las plumas,2013,85 min,Costa Rica,Spanish,Ernesto Villalobos,Sucia Centroamericana Producciones,Comedy,"Allan Cascante, Sylvia Sossa, Marvin Acosta, Erlan Vásquez",A lonely security guard finds more than he expected when he buys a rooster in order to get into the cockfighting game.,64,,,tt3142224,http://porlasplumas.com/,,https://ia.media-imdb.com/images/M/MV5BYmNiNThlMWItOWU1MS00YjhkLWEzNWQtYzBmNjhmODY4MzVmXkEyXkFqcGdeQXVyMTYwMzUwMzk@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYmNiNThlMWItOWU1MS00YjhkLWEzNWQtYzBmNjhmODY4MzVmXkEyXkFqcGdeQXVyMTYwMzUwMzk@._V1_SX300.jpg,,SD,
All Monsters Attack ,"ゴジラ・ミニラ・ガバラ オール怪獣大進撃, Gojira-Minira-Gabara: Ōru Kaijū Daishingeki",1969,70 min,Japan,Japanese,"Ishirô Honda, Jun Fukuda",Maron Films,"Action, Adventure, Family, Sci-Fi","Tomonori Yazaki, Hideyo Amamoto, Sachio Sakai, Kazuo Suzuki","Ichiro is a highly imaginative, but lonely, boy growing up in urban Tokyo. Every day he comes home to the empty apartment he shares with his railroad worker father and his restaurant hostess mother. His only friends are a toy maker name Shinpei Inami and a little girl named Sachicko. The only other kids that are around is a gang of kids led by a bully named Gabara. To escape his loneliness, Ichiro imagines that he is on Monster Island where he befriends Minya, the son of Godzilla. It is through his daydreams that he watches Godzilla and Minya fight other monsters, including one also named Gabara who is just as bad a bully as the one that is tormenting Ichiro. It is through these daydreams that he learns that it is okay to fight back and face his fears. These lessons also help him to outwit a couple of bumbling bank robbers as well as finally have the guts to stand up to Gabara and his gang.",38,,25,tt0064373,,,https://m.media-amazon.com/images/M/MV5BZmI4OGIwZGItYTkyZS00ODFiLTg1OWQtZTJhNGRhZWVmN2I1XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZmI4OGIwZGItYTkyZS00ODFiLTg1OWQtZTJhNGRhZWVmN2I1XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,,1080,Eng
Amadeus,,1984,160 min,"USA, France, Czechoslovakia","English, Italian, Latin, German",Milos Forman,Warner Bros. Pictures,"Biography, Drama, History, Music","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.",83,93,94,tt0086879,http://movies.warnerbros.com/amadeus,,https://m.media-amazon.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg,,1080,
American History X,,1998,119 min,USA,English,Tony Kaye,New Line Cinema,Drama,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien","Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",85,62,83,tt0120586,,,https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,,1080,Eng
Amores Perros,,2000,154 min,Mexico,Spanish,Alejandro G. Iñárritu,Lionsgate,"Drama, Thriller","Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero","On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way.",81,83,92,tt0245712,,,https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Death trilogy,1080,Eng
Amélie ,Le fabuleux destin d'Amélie Poulain,2001,122 min,"France, Germany","French, Russian, English",Jean-Pierre Jeunet,Miramax Films,"Comedy, Romance","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta","Amélie is a story about a girl named Amélie whose childhood was suppressed by her Father's mistaken concerns of a heart defect. With these concerns Amélie gets hardly any real life contact with other people. This leads Amélie to resort to her own fantastical world and dreams of love and beauty. She later on becomes a young woman and moves to the central part of Paris as a waitress. After finding a lost treasure belonging to the former occupant of her apartment, she decides to return it to him. After seeing his reaction and his new found perspective - she decides to devote her life to the people around her. Such as, her father who is obsessed with his garden-gnome, a failed writer, a hypochondriac, a man who stalks his ex girlfriends, the ""ghost"", a suppressed young soul, the love of her life and a man whose bones are as brittle as glass. But after consuming herself with these escapades - she finds out that she is disregarding her own life and damaging her quest for love. Amélie then discovers she must become more aggressive and take a hold of her life and capture the beauty of love she has always dreamed of.",83,69,89,tt0211915,http://www.miramax.com/movie/amelie,,https://ia.media-imdb.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNDg4NjM1YjMtYmNhZC00MjM0LWFiZmYtNGY1YjA3MzZmODc5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,,1080,
Angel's Egg ,"天使のたまご, Tenshi no Tamago",1985,71 min,Japan,Japanese,Mamoru Oshii,,"Animation, Drama, Fantasy, Horror, Mystery, Sci-Fi","Mako Hyôdô, Jinpachi Nezu, Kei'ichi Noda","a young girl is the sole protector of a very precious, large egg. her lair is near a large, abandoned, decaying gothic city inhabited by restless shadows. a mysterious young man arrives one day, and eventually wins her trust. they converse sparsely about obscure philosophical and theological topics, and she shows him some astonishing fossils and works of historic and scientific art. the ending is a bit shocking, and very ambiguous, leaving many unanswered questions and tons of room for interpretation.",77,,,tt0208502,,,https://m.media-amazon.com/images/M/MV5BMWM2N2RjOTAtYzRkNi00NDY5LWFhODAtZWEwYjdiM2FlMjljXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BMWM2N2RjOTAtYzRkNi00NDY5LWFhODAtZWEwYjdiM2FlMjljXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,,1080,"Eng, Fre, Spa"
Angst,,1983,87 min,Austria,German,Gerald Kargl,,"Drama, Horror, Thriller","Erwin Leder, Robert Hunger-Bühler, Silvia Ryder, Karin Springer","A man is released from prison after serving ten years for murdering an elderly woman. He quickly begins to feel the compulsion to kill again. After failing to murder a cab driver, he flees and discovers a secluded rural home, where a young woman lives with her sick mother and disabled brother. He then begins to take out his sadistic pleasures on them, attempting to hold them hostage, while thinking of his troubled childhood with his abusive mother and grandmother...",74,,100,tt0165623,,,https://m.media-amazon.com/images/M/MV5BZWE5MmQ4MGYtNDcyMS00YTRhLTkxNDAtZWJhMzAzY2VlMjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZWE5MmQ4MGYtNDcyMS00YTRhLTkxNDAtZWJhMzAzY2VlMjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Anima Mundi,,1992,28 min,Italy,None,Godfrey Reggio,Tara Releasing,"Documentary, Short",,Image and music are intertwined in this third collaboration between director Godfrey Reggio and composer Philip Glass. The film was produced to celebrate the World Wildlife Fund's Biological Diversity Campaign. The film combines images of nature with pulsing rhythms in a Microcosmos (1997) meets Koyaanisqatsi (1983) spectacle.,78,,,tt0101349,,,https://m.media-amazon.com/images/M/MV5BMTI4Mjk4NzQ5N15BMl5BanBnXkFtZTYwMTAxODU5._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4Mjk4NzQ5N15BMl5BanBnXkFtZTYwMTAxODU5._V1_SX300.jpg,,720,
Another Round ,Druk,2020,117 min,"Denmark, Sweden, Netherlands","Danish, Swedish",Thomas Vinterberg,,"Comedy, Drama","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe","Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",78,81,,tt10288566,,,https://m.media-amazon.com/images/M/MV5BOTNjM2Y2ZjgtMDc5NS00MDQ1LTgyNGYtYzYwMTAyNWQwYTMyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTNjM2Y2ZjgtMDc5NS00MDQ1LTgyNGYtYzYwMTAyNWQwYTMyXkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,,1080,"Eng, Dan"
Antichrist,,2009,108 min,"Denmark, Germany, France, Sweden, Italy, Poland",English,Lars von Trier,IFC Films,"Drama, Horror","Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm","A couple lose their young son when he falls out of a window while they are having sex in another room. The mother's grief consigns her to hospital, but her therapist husband brings her home intent on treating her depression himself. To confront her fears they go to stay at their remote cabin in the woods, ""Eden"", where something untold happened the previous summer. Told in four chapters with a prologue and epilogue, the film details acts of lustful cruelty as the man and woman unfold the darker side of nature outside and within.",66,49,52,tt0870984,http://www.antichristthemovie.com/?language=en,,https://m.media-amazon.com/images/M/MV5BMjE3MjQ2ODc1N15BMl5BanBnXkFtZTcwNjYyMzI5Mg@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjE3MjQ2ODc1N15BMl5BanBnXkFtZTcwNjYyMzI5Mg@@._V1_SX300.jpg,Depression trilogy,1080,
Apocalypse Now,,1979,147 min,USA,"English, French, Vietnamese",Francis Ford Coppola,,"Drama, Mystery, War","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?",84,94,98,tt0078788,,,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,Eng
Army of Darkness,,1992,81 min,USA,English,Sam Raimi,,"Comedy, Horror","Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie","Ash is transported with his car to 1,300 A.D., where he is captured by Lord Arthur and turned slave with Duke Henry the Red and a couple of his men. When Ash is thrown into a pit, he defeats two monsters and wins respect of Arthur's army and vassals. The Wiseman points Ash as The Chosen One that will retrieve the Necronomicon but Ash is only interested in returning home. When he learns that the only way to return to his time is using the Necronomicon, Ash decides to travel to the unholy land of the Deadites. The Wiseman advises that he must say the words ""Klaatu Barada Nikto"" to safely get the evil book. However, Ash forgets the last word and an army of the dead resurrects to attack Arthur fortress and recover the Necronomicon. The battle between the living and the dead is about to start and the support of Henry the Red is the only way to help Ash and Arthur to defeat the army of darkness.",75,57,73,tt0106308,,,https://m.media-amazon.com/images/M/MV5BODcyYzM4YTAtNGM5MS00NjU4LTk2Y2ItZjI5NjkzZTk0MmQ1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BODcyYzM4YTAtNGM5MS00NjU4LTk2Y2ItZjI5NjkzZTk0MmQ1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Evil Dead trilogy,1080,Eng
At Eternity's Gate,,2018,111 min,"Switzerland, Ireland, UK, France, USA","French, English",Julian Schnabel,,"Biography, Drama","Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen","A look at the life of painter Vincent van Gogh during the time he lived in Arles and Auvers-sur-Oise, France.",70,78,,tt6938828,,,https://m.media-amazon.com/images/M/MV5BOTRmZGJiZjUtMGJjYi00MzZhLTkzYjUtODE1Yjk5ZDRiODhlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTRmZGJiZjUtMGJjYi00MzZhLTkzYjUtODE1Yjk5ZDRiODhlXkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,,1080,Eng
Attenborough's Life That Glows,,2016,60 min,UK,English,Joe Loncraine,,Documentary,David Attenborough,"Sir David Attenborough explores the world of bio-luminescence, the often spectacular natural light produced by some creatures. Specially designed cameras reveal nature's leading lights.",84,,,tt5705966,,,https://m.media-amazon.com/images/M/MV5BNDNkOWY3MzMtNmY3MC00ZGU5LThiYzgtYjhiMzA1MWNhY2YyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDNkOWY3MzMtNmY3MC00ZGU5LThiYzgtYjhiMzA1MWNhY2YyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,,1080,Eng
Autumn Sonata ,Höstsonaten,1978,99 min,"France, West Germany, Sweden, UK","Swedish, English",Ingmar Bergman,Criterion Collection,"Drama, Music","Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk","After having neglected her children for many years, world famous pianist Charlotte visits her daughter Eva in her home. To her surprise she finds her other daughter, Helena, there as well. Helena is mentally disabled, and Eva has taken Helena out of the institution where their mother had placed her. The tension between Charlotte and Eva only builds up slowly, until a nightly conversation releases all the things they have wanted to tell each other.",83,,91,tt0077711,,,https://m.media-amazon.com/images/M/MV5BNjM1YzkxODQtYmE4Yy00NTM5LWFlMjYtMGVjZjE4ZDRjZmNjXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNjM1YzkxODQtYmE4Yy00NTM5LWFlMjYtMGVjZjE4ZDRjZmNjXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,,1080,Eng
